id,run_id,bar_open_time,pred_long,pred_short,state_before,decision,reason,processed_at
380,run_20260609_090318_f862b5,2026-06-09 09:56:00,0.00681003187805959,0.023887677063497946,FLAT,HOLD,below_threshold long=0.007 short=0.024,2026-06-09 09:56:10
381,run_20260609_090318_f862b5,2026-06-09 09:57:00,0.005927462453387396,0.02805182474071851,FLAT,HOLD,below_threshold long=0.006 short=0.028,2026-06-09 09:57:09
382,run_20260609_090318_f862b5,2026-06-09 09:58:00,0.0060598022296412795,0.024242179404836976,FLAT,HOLD,below_threshold long=0.006 short=0.024,2026-06-09 09:58:09
383,run_20260609_090318_f862b5,2026-06-09 09:59:00,0.00722909523876039,0.031562202771071364,FLAT,HOLD,below_threshold long=0.007 short=0.032,2026-06-09 09:59:09
384,run_20260609_090318_f862b5,2026-06-09 10:00:00,0.006700462682245704,0.032976922581172165,FLAT,HOLD,below_threshold long=0.007 short=0.033,2026-06-09 10:00:09
385,run_20260609_090318_f862b5,2026-06-09 10:01:00,0.006387581455309785,0.02837172978983746,FLAT,HOLD,below_threshold long=0.006 short=0.028,2026-06-09 10:01:09
386,run_20260609_090318_f862b5,2026-06-09 10:02:00,0.006371363197954415,0.030896703905022388,FLAT,HOLD,below_threshold long=0.006 short=0.031,2026-06-09 10:02:09
387,run_20260609_090318_f862b5,2026-06-09 10:03:00,0.0058935840183688415,0.032851809444634825,FLAT,HOLD,below_threshold long=0.006 short=0.033,2026-06-09 10:03:09
388,run_20260609_090318_f862b5,2026-06-09 10:04:00,0.005941734216469916,0.0277711219011442,FLAT,HOLD,below_threshold long=0.006 short=0.028,2026-06-09 10:04:09
389,run_20260609_090318_f862b5,2026-06-09 10:05:00,0.0061190942403008056,0.02826935941438374,FLAT,HOLD,below_threshold long=0.006 short=0.028,2026-06-09 10:05:09
390,run_20260609_090318_f862b5,2026-06-09 10:06:00,0.007023848525981981,0.024910966619639884,FLAT,HOLD,below_threshold long=0.007 short=0.025,2026-06-09 10:06:09
391,run_20260609_090318_f862b5,2026-06-09 10:07:00,0.008280339578489832,0.029124007306235784,FLAT,HOLD,below_threshold long=0.008 short=0.029,2026-06-09 10:07:09
392,run_20260609_090318_f862b5,2026-06-09 10:08:00,0.00764413384980446,0.028343141006195345,FLAT,HOLD,below_threshold long=0.008 short=0.028,2026-06-09 10:08:09
393,run_20260609_090318_f862b5,2026-06-09 10:09:00,0.006389512429097972,0.02116642962392311,FLAT,HOLD,below_threshold long=0.006 short=0.021,2026-06-09 10:09:09
394,run_20260609_090318_f862b5,2026-06-09 10:10:00,0.0059798238760475205,0.024389207606977888,FLAT,HOLD,below_threshold long=0.006 short=0.024,2026-06-09 10:10:10
395,run_20260609_090318_f862b5,2026-06-09 10:11:00,0.006433661120962724,0.021325815773237968,FLAT,HOLD,below_threshold long=0.006 short=0.021,2026-06-09 10:11:09
396,run_20260609_090318_f862b5,2026-06-09 10:12:00,0.00614790954731627,0.02142921771397805,FLAT,HOLD,below_threshold long=0.006 short=0.021,2026-06-09 10:12:09
397,run_20260609_090318_f862b5,2026-06-09 10:13:00,0.00642901482222989,0.023500475008726117,FLAT,HOLD,below_threshold long=0.006 short=0.024,2026-06-09 10:13:09
398,run_20260609_090318_f862b5,2026-06-09 10:14:00,0.006090438389016475,0.022707423470774788,FLAT,HOLD,below_threshold long=0.006 short=0.023,2026-06-09 10:14:10
399,run_20260609_090318_f862b5,2026-06-09 10:15:00,0.005012375484493993,0.018981619518155714,FLAT,HOLD,below_threshold long=0.005 short=0.019,2026-06-09 10:15:10
400,run_20260609_090318_f862b5,2026-06-09 10:16:00,0.007981800689882242,0.02546114415975917,FLAT,HOLD,below_threshold long=0.008 short=0.025,2026-06-09 10:16:09
401,run_20260609_090318_f862b5,2026-06-09 10:17:00,0.007260554271529025,0.029849803527437355,FLAT,HOLD,below_threshold long=0.007 short=0.030,2026-06-09 10:17:10
402,run_20260609_090318_f862b5,2026-06-09 10:18:00,0.006191866845683387,0.02321354685289508,FLAT,HOLD,below_threshold long=0.006 short=0.023,2026-06-09 10:18:10
