fold,alpha,C,selected_features,train_roc_auc,train_pr_auc,train_brier_score,valid_roc_auc,valid_pr_auc,valid_brier_score,train_log_loss,valid_log_loss
4,1000.0,0.001,2,0.7714675977433687,0.3592459571395218,0.10457409152736655,0.7868215281145226,0.28074406298954,0.06366376938756009,0.35805438221651925,0.2543384455278433
5,30.0,0.03333333333333333,28,0.7752921129473986,0.3521156832700574,0.09612866894608683,0.7939723044416094,0.24218501466758344,0.05060222474330076,0.3254948322996115,0.19517541109282985
5,60.0,0.016666666666666666,21,0.7758286500158067,0.35230459378638956,0.09620385452728998,0.7963809544324545,0.24201211575136963,0.05062412660870246,0.32610130170194757,0.1957274351703359
5,100.0,0.01,13,0.776532960678384,0.3526229396193059,0.09631439700890468,0.797701795423369,0.24247854225542345,0.05066722868462241,0.3270026451718281,0.1966545983165932
5,150.0,0.006666666666666667,12,0.7772876207941172,0.3534840633430171,0.09643362269264193,0.7995366775708668,0.2416124267896888,0.05076750625336016,0.328105491292531,0.1981174458492637
5,220.0,0.004545454545454545,9,0.776563918226626,0.35350424170277506,0.0966675788606503,0.7994652013719513,0.23860760302705292,0.050993269422468596,0.3298130159825961,0.20070493556658223
5,330.0,0.0030303030303030303,5,0.7771327121840026,0.3538256603758529,0.09681935561850662,0.7954537220985803,0.23568391139376066,0.05121880619401277,0.3310856212768811,0.2033916613151486
5,500.0,0.002,3,0.7787592903617383,0.3545165854677804,0.09710519343985427,0.7942102320626561,0.23603679322698523,0.051677218886672295,0.33312073241423606,0.20808710103406888
5,750.0,0.0013333333333333333,3,0.7792010888717027,0.3546863681191308,0.09775557349922295,0.7950464056773644,0.23868633438332446,0.05296930116516156,0.33686006406272867,0.21742153564642078
5,1000.0,0.001,2,0.7776762672031957,0.3541158721070958,0.09860499499151025,0.7959246817106115,0.23906017073470873,0.05458766930588415,0.34103764975878315,0.2267311915537154
