entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.4,45,0.02,511,0.6751,4.8525,2.183,-0.1695,37.8,0.026,4.82028
0.45,60,0.01,380,0.8526,4.7484,3.759,-0.1084,25.6,0.013,4.799980000000001
0.48,120,0.01,317,0.9306,4.6696,4.559,-0.0969,28.8,0.012,4.75033
0.6,60,0.015,185,0.9081,4.6667,8.309,-0.1089,27.1,0.007,4.734679999999999
0.45,30,0.0,378,0.6958,4.6158,2.807,-0.1393,28.8,0.015,4.60489
0.5,120,0.01,289,0.9446,4.4042,5.502,-0.0945,28.6,0.011,4.49033
0.38,45,0.0,575,0.6522,4.5178,1.921,-0.1786,41.2,0.032,4.47416
0.35,120,0.01,675,0.7852,4.4533,1.908,-0.1791,45.3,0.041,4.44931
0.42,45,0.015,455,0.7165,4.3687,2.337,-0.1474,32.8,0.02,4.3599499999999995
0.48,90,0.01,318,0.9182,4.174,4.116,-0.0902,27.0,0.011,4.254360000000001
0.5,45,0.015,286,0.7937,4.2026,3.457,-0.1157,29.6,0.011,4.2328600000000005
0.38,90,0.01,570,0.807,4.1754,2.083,-0.1887,39.0,0.03,4.17315
0.35,60,0.02,683,0.6471,4.2454,1.679,-0.233,46.5,0.042,4.17303
0.45,30,0.02,380,0.7105,4.179,2.806,-0.1393,25.7,0.013,4.1725
0.55,45,0.02,226,0.7832,4.1658,3.598,-0.1983,33.4,0.01,4.15161
0.55,60,0.015,225,0.8444,4.1028,4.466,-0.1253,32.9,0.01,4.143470000000001
0.6,30,0.02,185,0.8541,3.994,6.139,-0.1315,22.9,0.006,4.03448
0.38,45,0.02,579,0.6563,4.0151,1.883,-0.1726,37.8,0.029,3.97569
0.48,30,0.0,314,0.6879,3.8681,2.818,-0.1229,29.3,0.012,3.86302
0.4,45,0.015,512,0.6875,3.8813,2.082,-0.1736,34.6,0.024,3.8507499999999997
0.6,45,0.015,185,0.8919,3.7846,6.782,-0.1529,23.6,0.006,3.8257200000000005
0.55,30,0.0,228,0.7193,3.8052,3.623,-0.1471,29.7,0.009,3.79744
0.5,90,0.01,289,0.9239,3.6384,4.328,-0.0913,26.7,0.01,3.7199199999999997
0.42,60,0.01,456,0.807,3.6642,2.467,-0.0907,28.4,0.017,3.71095
0.35,90,0.01,685,0.7679,3.674,1.777,-0.181,40.4,0.037,3.6638699999999997
0.4,60,0.01,512,0.7832,3.5933,2.206,-0.165,30.8,0.021,3.5957600000000003
0.5,30,0.0,285,0.6772,3.5982,2.9,-0.1347,29.5,0.011,3.58401
0.35,45,0.0,685,0.6277,3.6349,1.659,-0.1906,40.3,0.037,3.57791
0.55,120,0.01,227,0.9515,3.4406,10.241,-0.0399,25.4,0.008,3.5561
0.48,60,0.01,320,0.8719,3.3707,3.472,-0.1263,23.3,0.01,3.41912
0.45,45,0.01,380,0.8289,3.3431,2.964,-0.1324,22.4,0.011,3.37557
0.38,45,0.015,580,0.6655,3.3707,1.821,-0.1727,34.7,0.027,3.334
0.45,30,0.015,380,0.7211,3.2452,2.606,-0.1232,23.5,0.012,3.24993
0.55,90,0.01,227,0.9339,3.1279,8.169,-0.047,23.7,0.007,3.23457
0.48,30,0.02,317,0.7035,3.2054,2.706,-0.1301,25.8,0.011,3.2014
0.42,30,0.0,458,0.6638,3.1965,2.07,-0.1297,28.5,0.017,3.18079
0.38,60,0.01,584,0.7568,3.137,1.91,-0.1624,32.0,0.025,3.1328400000000003
0.55,45,0.015,226,0.8053,3.0512,3.562,-0.1831,27.5,0.008,3.0512400000000004
0.4,45,0.01,515,0.7534,3.0235,2.144,-0.1248,26.4,0.018,3.0371200000000003
0.42,45,0.01,457,0.7834,2.9685,2.305,-0.0966,24.4,0.015,3.0052200000000004
0.3,120,0.01,911,0.7355,3.0312,1.502,-0.2052,46.6,0.057,2.9992500000000004
0.3,60,0.02,919,0.6268,3.1237,1.418,-0.3688,45.0,0.055,2.97734
0.6,30,0.015,185,0.8649,2.9221,5.489,-0.1358,18.6,0.005,2.96367
0.48,30,0.015,318,0.7264,2.8976,2.707,-0.1174,22.7,0.01,2.90682
0.48,45,0.01,320,0.8469,2.863,3.275,-0.1267,20.5,0.009,2.9037200000000003
0.5,60,0.01,290,0.8828,2.828,3.452,-0.1203,23.3,0.009,2.8826899999999998
0.5,30,0.02,287,0.6934,2.8943,2.756,-0.1594,25.3,0.01,2.87262
0.55,30,0.02,229,0.7336,2.7899,3.309,-0.1486,24.5,0.008,2.7856799999999997
0.35,45,0.02,693,0.632,2.8342,1.581,-0.209,37.6,0.035,2.7693000000000003
0.42,30,0.02,459,0.6732,2.7054,1.999,-0.1297,26.2,0.016,2.6925100000000004
0.55,60,0.01,227,0.9031,2.5932,5.676,-0.0646,20.6,0.006,2.6818299999999997
0.35,60,0.015,689,0.6575,2.7204,1.54,-0.209,42.6,0.039,2.6631500000000004
0.35,60,0.01,700,0.7243,2.4927,1.614,-0.1867,33.1,0.031,2.46664
0.6,90,0.01,186,0.9731,2.3081,7.299,-0.1004,17.6,0.004,2.39983
0.38,45,0.01,586,0.7218,2.3943,1.789,-0.1346,27.3,0.021,2.39354
0.6,120,0.01,186,0.9785,2.2874,6.868,-0.1167,18.3,0.005,2.3726
0.3,90,0.01,923,0.7237,2.4002,1.426,-0.2308,41.9,0.052,2.3519099999999997
0.6,60,0.01,186,0.9409,2.2349,8.243,-0.0808,16.0,0.004,2.3267700000000002
0.5,45,0.01,291,0.8488,2.2644,3.025,-0.1244,20.4,0.008,2.3068400000000002
0.45,30,0.01,382,0.7801,2.2813,2.492,-0.1232,18.0,0.009,2.30373
0.5,30,0.015,288,0.7118,2.318,2.616,-0.1584,22.4,0.009,2.30234
0.55,45,0.01,228,0.886,2.2318,4.813,-0.0982,18.3,0.006,2.2984999999999998
0.42,30,0.015,461,0.679,2.1477,1.876,-0.1217,24.5,0.015,2.14055
0.55,30,0.015,229,0.7467,2.1135,3.039,-0.1425,20.9,0.006,2.11626
0.35,45,0.01,705,0.6993,2.0172,1.552,-0.1286,28.1,0.026,2.01269
0.35,45,0.015,697,0.6428,2.0328,1.48,-0.2269,34.9,0.032,1.9621899999999999
0.3,60,0.015,926,0.6371,2.0831,1.344,-0.3704,41.7,0.052,1.9390299999999998
0.3,45,0.0,933,0.6109,2.0829,1.34,-0.3842,38.6,0.048,1.92407
0.6,45,0.01,186,0.9247,1.8553,5.35,-0.1458,14.6,0.004,1.90981
0.4,30,0.02,520,0.6327,1.9372,1.72,-0.1554,26.9,0.019,1.8993099999999998
0.48,30,0.01,321,0.7913,1.8684,2.49,-0.117,16.7,0.007,1.8972900000000001
0.42,30,0.01,461,0.7397,1.7713,1.884,-0.0869,19.3,0.012,1.79976
0.4,30,0.01,521,0.7006,1.7634,1.823,-0.1058,20.6,0.014,1.77068
0.4,30,0.0,519,0.6243,1.7612,1.665,-0.1581,28.7,0.02,1.71944
0.6,30,0.01,186,0.8817,1.594,4.524,-0.115,12.4,0.003,1.6510099999999999
0.5,30,0.01,292,0.7842,1.5577,2.463,-0.132,16.4,0.006,1.5769600000000001
0.4,30,0.015,520,0.6404,1.5628,1.634,-0.1398,25.5,0.018,1.5350199999999998
0.55,30,0.01,230,0.8,1.4786,3.187,-0.0823,14.9,0.005,1.52745
0.38,30,0.02,591,0.6058,1.4439,1.482,-0.1843,27.1,0.021,1.38349
0.3,45,0.02,939,0.6124,1.4412,1.269,-0.3853,36.5,0.046,1.28227
0.38,30,0.01,593,0.661,1.2869,1.52,-0.1379,21.2,0.017,1.2662499999999999
0.38,30,0.0,589,0.5942,1.3081,1.441,-0.1916,28.6,0.023,1.2405599999999999
0.38,30,0.015,591,0.6142,1.1922,1.428,-0.1769,25.6,0.02,1.13801
0.3,60,0.01,946,0.686,1.2069,1.259,-0.3141,34.4,0.043,1.1056500000000002
0.3,45,0.015,944,0.6218,1.0069,1.217,-0.3959,34.4,0.043,0.84549
0.35,30,0.01,712,0.6292,0.6751,1.248,-0.185,21.7,0.021,0.62136
0.35,30,0.02,707,0.5672,0.6374,1.215,-0.2266,27.0,0.025,0.54426
0.3,45,0.01,959,0.6601,0.647,1.167,-0.357,29.4,0.038,0.51653
0.35,30,0.0,706,0.5581,0.5586,1.193,-0.236,28.2,0.027,0.45803
0.35,30,0.015,708,0.5763,0.5075,1.182,-0.1964,25.6,0.024,0.43218999999999996
0.3,30,0.02,969,0.5511,0.3186,1.095,-0.3871,26.4,0.034,0.14038
0.3,30,0.0,967,0.5471,0.2804,1.087,-0.3812,27.4,0.035,0.10393
0.3,30,0.015,971,0.5561,0.1212,1.047,-0.4308,25.4,0.033,-0.07737
0.3,30,0.01,982,0.5835,-0.0491,0.996,-0.4692,22.5,0.03,-0.25865
