entry_thr,max_hold,tp_pct,trades,win_rate,total_return,profit_factor,max_dd,avg_hold,exposure_pct,score
0.6,60,0.01,74,0.8108,0.2999,2.391,-0.0587,25.2,0.002,0.36379
0.48,30,0.015,203,0.6305,0.3839,1.429,-0.1214,24.7,0.007,0.36235
0.38,30,0.02,458,0.5655,0.4279,1.216,-0.2001,28.2,0.017,0.3475
0.55,45,0.01,115,0.7478,0.3113,1.727,-0.1083,23.3,0.004,0.33149000000000006
0.45,30,0.015,265,0.5811,0.4108,1.34,-0.2169,25.0,0.009,0.32667999999999997
0.55,30,0.02,115,0.6087,0.3441,1.63,-0.1047,26.8,0.004,0.32436000000000004
0.5,45,0.01,176,0.7045,0.2853,1.383,-0.0765,25.6,0.006,0.3084
0.42,30,0.0,342,0.538,0.4309,1.27,-0.2768,29.9,0.014,0.3039
0.6,45,0.01,74,0.7973,0.2346,1.946,-0.0553,21.8,0.002,0.29614
0.6,30,0.01,74,0.7568,0.2319,2.121,-0.0444,17.2,0.002,0.28674
0.42,30,0.02,342,0.5409,0.399,1.253,-0.2583,28.0,0.013,0.28212000000000004
0.55,30,0.0,115,0.5739,0.2956,1.507,-0.0868,30.0,0.005,0.27436999999999995
0.5,30,0.01,176,0.6705,0.2476,1.369,-0.0666,20.2,0.005,0.26544999999999996
0.5,30,0.015,176,0.608,0.2741,1.345,-0.0892,25.5,0.006,0.2619
0.45,30,0.01,267,0.633,0.2839,1.275,-0.1571,20.3,0.007,0.24524999999999997
0.4,30,0.02,400,0.5575,0.3593,1.201,-0.2711,28.1,0.015,0.241
0.42,30,0.015,342,0.5585,0.3211,1.215,-0.2605,25.5,0.012,0.2084
0.55,30,0.01,115,0.687,0.2047,1.49,-0.1146,18.2,0.003,0.20350000000000001
0.42,30,0.01,343,0.6181,0.2487,1.194,-0.1915,21.0,0.01,0.18838
0.38,30,0.01,464,0.6185,0.2183,1.135,-0.17,22.1,0.014,0.16885
0.38,30,0.0,454,0.5507,0.2484,1.138,-0.2361,29.9,0.018,0.14556000000000002
0.3,45,0.01,780,0.6026,0.2043,1.076,-0.2173,31.8,0.033,0.12643000000000001
0.4,30,0.0,399,0.5489,0.2092,1.129,-0.2688,29.9,0.016,0.08947000000000002
0.4,30,0.01,404,0.6139,0.1517,1.107,-0.2082,21.3,0.011,0.08177000000000001
0.3,30,0.02,787,0.493,0.1655,1.064,-0.2458,28.3,0.029,0.04260000000000001
0.3,30,0.015,791,0.5032,0.0871,1.041,-0.2776,27.0,0.028,-0.050740000000000014
0.3,30,0.0,787,0.4854,-0.0169,1.009,-0.3075,29.5,0.031,-0.17065
0.3,30,0.01,800,0.53,-0.2072,0.93,-0.3678,23.9,0.025,-0.3821
