trial_number,value,long_entry_pct,short_entry_pct,min_edge_gap,max_hold_minutes,cooldown_minutes,min_hold_minutes,rearm_pct
105,0.004828255383796446,0.8838842946739922,0.9774705260896246,0.26170264682372424,150,98,7,0.4067518705074488
106,0.004008381225184061,0.9177785538854448,0.9680791680650562,0.2949288982858468,164,27,7,0.41369260758296456
107,0.004524975436713385,0.9125245012896513,0.9830511609361156,0.20385925367846727,206,87,30,0.4261288676784836
108,0.004127201602336965,0.9244167555782036,0.954253345249967,0.21839983368778604,121,80,20,0.4051606785035304
109,0.003819998041133972,0.9416184341266494,0.9739309449425865,0.2306274976801809,145,18,5,0.4190779412500614
110,0.004441173076734376,0.717540078239127,0.9896851463769599,0.26751609288395706,186,73,9,0.44550839836538525
111,0.005819047301715766,0.9056245302438618,0.9848963723618239,0.18842607902885739,155,83,4,0.4006625872647513
112,0.00518664353276122,0.9038150978877668,0.9838330372649753,0.19158464725892121,155,90,3,0.4132238360696104
113,0.004597006397344958,0.8905904655343237,0.9640196733766213,0.19735956304994753,171,82,5,0.40416675582958306
114,0.005515844099410777,0.8967027385153711,0.9776158131271067,0.16856372964581104,160,101,6,0.40035771881635374
115,0.003959039884609588,0.8659423044009119,0.9718571574421407,0.1628898985531215,160,101,4,0.4252196931359768
116,0.004978904792018502,0.8978803430868016,0.9781587136224684,0.1512431617768699,167,106,5,0.4132674742733818
117,0.005868474154796054,0.8826559810071632,0.9897938895251007,0.17124682799724317,149,104,7,0.400432212954777
118,0.004612399475571874,0.8805445718184751,0.9852130196124604,0.15896162632472893,150,115,7,0.43091903547651733
119,0.004085050300097042,0.8728855718083937,0.968108411868855,0.16998060961401365,138,120,25,0.420357676086069
120,0.005245506020820402,0.8873726517915034,0.9788641453351441,0.19063599971348325,133,102,27,0.40044202103949755
121,0.005527355679173164,0.8944529754962769,0.9894906187693567,0.18103378994533573,155,99,6,0.4079886968483367
122,0.005153552300346193,0.9069875736891578,0.9858303702124369,0.1769205793575827,143,110,6,0.41068409150624313
123,0.0047022294277985766,0.8937759415049694,0.9759361631113812,0.20559717331423996,214,93,7,0.4184192925979716
124,0.006105725217408035,0.8994403090720381,0.9832915378344499,0.18462194418858657,145,98,8,0.4001035544457808
