direction,entry_cutoff,tp_spec,sl_spec,n_trades,total_fact_log_return,avg_fact_log_return,compounded_return_pct,win_rate,avg_hold_minutes
short,0.99,bucket_median_mfe,0.5x_tp,102,-0.10449568898791718,-0.0010244675390972272,-9.922131933371093,0.27450980392156865,3.7549019607843137
short,0.9,bucket_median_mfe,1.0x_tp,797,-0.03647810058531407,-4.576926045836144e-05,-3.582079137455574,0.49435382685069007,24.767879548306148
short,0.92,bucket_median_mfe,1.0x_tp,615,-0.23246718400614264,-0.00037799542114819943,-20.742424191876673,0.4796747967479675,22.19349593495935
short,0.94,bucket_median_mfe,1.0x_tp,432,-0.10408198761132154,-0.0002409305268780591,-9.884858885927217,0.4861111111111111,19.108796296296298
short,0.95,bucket_median_mfe,1.0x_tp,350,-0.1891284006571436,-0.0005403668590204103,-17.231977481324677,0.48,17.254285714285714
short,0.96,bucket_median_mfe,1.0x_tp,279,-0.1056939055081858,-0.00037883120253830036,-10.030000085392487,0.4874551971326165,15.512544802867383
short,0.97,bucket_median_mfe,1.0x_tp,200,-0.2373364100761966,-0.001186682050380983,-21.127409196095858,0.45,12.88
short,0.98,bucket_median_mfe,1.0x_tp,129,-0.30967935609421315,-0.0024006151635210323,-26.631783077118655,0.3875968992248062,11.023255813953488
short,0.99,bucket_median_mfe,1.0x_tp,77,-0.2399942003539259,-0.0031168077968042325,-21.33675767570309,0.36363636363636365,7.545454545454546
short,0.9,bucket_median_mfe,1.5x_tp,663,-0.012972405293325325,-1.956622216187832e-05,-1.2888626306723494,0.5460030165912518,30.80241327300151
short,0.92,bucket_median_mfe,1.5x_tp,513,-0.04284251868245648,-8.351368164221537e-05,-4.193774490627177,0.5516569200779727,28.239766081871345
short,0.94,bucket_median_mfe,1.5x_tp,379,0.11327691639828645,0.0002988836844281964,11.994202032302258,0.5725593667546174,24.34300791556728
short,0.95,bucket_median_mfe,1.5x_tp,298,-0.0790583948108166,-0.0002652966268819349,-7.601403311605203,0.5704697986577181,22.70805369127517
short,0.96,bucket_median_mfe,1.5x_tp,232,0.008753066349844437,3.7728734266570847e-05,0.87914864511911,0.5775862068965517,19.69396551724138
short,0.97,bucket_median_mfe,1.5x_tp,167,-0.1757190500443519,-0.0010522098805051013,-16.114637387733666,0.5568862275449101,16.724550898203592
short,0.98,bucket_median_mfe,1.5x_tp,112,-0.23614964221780366,-0.002108478948373247,-21.03375017565664,0.5089285714285714,15.625
short,0.99,bucket_median_mfe,1.5x_tp,69,-0.1630410478838091,-0.0023629137374465087,-15.044368479005655,0.5072463768115942,10.594202898550725
short,0.9,bucket_median_mfe,2.0x_tp,588,-0.1736446253174624,-0.0002953139886351401,-15.940442903100271,0.5561224489795918,35.11054421768708
short,0.92,bucket_median_mfe,2.0x_tp,448,-0.09750957968123444,-0.00021765531178846975,-9.290634815385502,0.5625,33.433035714285715
short,0.94,bucket_median_mfe,2.0x_tp,316,-0.049010772349471814,-0.0001550973808527589,-4.78291274741377,0.5854430379746836,29.34493670886076
short,0.95,bucket_median_mfe,2.0x_tp,255,-0.2299101035407912,-0.0009016082491795733,-20.539496852852103,0.5803921568627451,28.094117647058823
short,0.96,bucket_median_mfe,2.0x_tp,195,-0.14114121620216602,-0.0007238011087290565,-13.163332440524567,0.5846153846153846,25.148717948717948
short,0.97,bucket_median_mfe,2.0x_tp,134,-0.2861745428867331,-0.0021356309170651724,-24.886850015577156,0.5597014925373134,21.776119402985074
short,0.98,bucket_median_mfe,2.0x_tp,94,-0.32175295069705395,-0.003422903730819723,-27.512275137012644,0.5212765957446809,20.627659574468087
short,0.99,bucket_median_mfe,2.0x_tp,57,-0.20498240097784665,-0.0035961824732955554,-18.533834646625746,0.5263157894736842,15.614035087719298
short,0.9,bucket_p75_mfe,none,864,-0.21474671519966895,-0.0002485494388885057,-19.32542492617515,0.7673611111111112,22.5
short,0.92,bucket_p75_mfe,none,651,-0.1577845596948938,-0.00024237259553747128,-14.596624455703699,0.7726574500768049,21.714285714285715
short,0.94,bucket_p75_mfe,none,430,-0.09565040751594275,-0.00022244280817661105,-9.121833621884845,0.8093023255813954,19.727906976744187
short,0.95,bucket_p75_mfe,none,331,-0.14450819246254218,-0.00043658064188079206,-13.455217777480188,0.8096676737160121,19.40785498489426
short,0.96,bucket_p75_mfe,none,251,-0.0156777015908137,-6.246096251320199e-05,-1.5555446155797625,0.8127490039840638,19.131474103585656
short,0.97,bucket_p75_mfe,none,144,-0.14097819548868237,-0.000979015246449183,-13.149175111084865,0.7916666666666666,20.381944444444443
short,0.98,bucket_p75_mfe,none,97,-0.1184902199946198,-0.0012215486597383484,-11.173949719317932,0.8041237113402062,19.835051546391753
short,0.99,bucket_p75_mfe,none,53,-0.05807341056212029,-0.0010957247275871751,-5.64193238936328,0.8490566037735849,15.037735849056604
short,0.9,bucket_p75_mfe,0.5x_tp,3257,-0.21353479595377645,-6.556180410002347e-05,-19.227594586727392,0.3236106846791526,2.5848940743015043
short,0.92,bucket_p75_mfe,0.5x_tp,2345,-0.15284595920901892,-6.517951352196969e-05,-14.17380810258776,0.3236673773987207,2.357782515991471
short,0.94,bucket_p75_mfe,0.5x_tp,1533,-0.23601214289627923,-0.00015395443111303276,-21.02289162337778,0.3105022831050228,2.0574037834311807
short,0.95,bucket_p75_mfe,0.5x_tp,1191,-0.23601214289627923,-0.0001981630083092185,-21.02289162337778,0.30394626364399663,1.8790931989924433
short,0.96,bucket_p75_mfe,0.5x_tp,897,-0.23601214289627923,-0.0002631127568520393,-21.02289162337778,0.29431438127090304,1.8093645484949832
short,0.97,bucket_p75_mfe,0.5x_tp,572,-0.20004838778827477,-0.00034973494368579507,-18.130886253388844,0.28146853146853146,1.6433566433566433
short,0.98,bucket_p75_mfe,0.5x_tp,340,-0.13711181634926697,-0.00040327004808607934,-12.812726894437276,0.2735294117647059,1.5147058823529411
short,0.99,bucket_p75_mfe,0.5x_tp,179,-0.10564353062976307,-0.0005901873219539837,-10.025467743427974,0.24581005586592178,1.312849162011173
short,0.9,bucket_p75_mfe,1.0x_tp,2353,-0.12697681630274654,-5.3963797833721437e-05,-11.924590850332473,0.49383765405864855,4.561835954101148
short,0.92,bucket_p75_mfe,1.0x_tp,1756,-0.09550853058324266,-5.438982379455732e-05,-9.108939191700237,0.49373576309794986,4.038154897494305
short,0.94,bucket_p75_mfe,1.0x_tp,1167,-0.040459224496505006,-3.466942973136676e-05,-3.9651677600557322,0.4961439588688946,3.4250214224507283
short,0.95,bucket_p75_mfe,1.0x_tp,930,-0.1258731428780156,-0.00013534746546023182,-11.827330700032778,0.48494623655913977,3.1139784946236557
short,0.96,bucket_p75_mfe,1.0x_tp,709,-0.19330518370552394,-0.0002726448289217545,-17.576960593387525,0.4696755994358251,2.92524682651622
short,0.97,bucket_p75_mfe,1.0x_tp,476,-0.2877100408640356,-0.000604432858958058,-25.00209760158567,0.4327731092436975,2.5945378151260505
short,0.98,bucket_p75_mfe,1.0x_tp,293,-0.19330518370552394,-0.0006597446542850646,-17.576960593387525,0.42662116040955633,2.3071672354948807
short,0.99,bucket_p75_mfe,1.0x_tp,157,-0.049450163273506126,-0.0003149691928248798,-4.824741081197459,0.46496815286624205,1.7898089171974523
